idx,target
0,0.526316
0,0.523834
0,0.527426
0,0.526177
0,0.527565
0,0.527565
0,0.528123
0,0.528123
0,0.529381
0,0.529101
0,0.532765
0,0.532056
0,0.53135
0,0.533049
0,0.532623
0,0.534188
0,0.535045
0,0.537201
0,0.536481
0,0.536193
0,0.535475
0,0.535906
0,0.538503
0,0.537779
0,0.536769
0,0.536337
0,0.536625
0,0.535906
1,0.523834
1,0.527426
1,0.526177
1,0.527565
1,0.527565
1,0.528123
1,0.528123
1,0.529381
1,0.529101
1,0.532765
1,0.532056
1,0.53135
1,0.533049
1,0.532623
1,0.534188
1,0.535045
1,0.537201
1,0.536481
1,0.536193
1,0.535475
1,0.535906
1,0.538503
1,0.537779
1,0.536769
1,0.536337
1,0.536625
1,0.535906
1,0.536625
2,0.527426
2,0.526177
2,0.527565
2,0.527565
2,0.528123
2,0.528123
2,0.529381
2,0.529101
2,0.532765
2,0.532056
2,0.53135
2,0.533049
2,0.532623
2,0.534188
2,0.535045
2,0.537201
2,0.536481
2,0.536193
2,0.535475
2,0.535906
2,0.538503
2,0.537779
2,0.536769
2,0.536337
2,0.536625
2,0.535906
2,0.536625
2,0.536193
3,0.526177
3,0.527565
3,0.527565
3,0.528123
3,0.528123
3,0.529381
3,0.529101
3,0.532765
3,0.532056
3,0.53135
3,0.533049
3,0.532623
3,0.534188
3,0.535045
3,0.537201
3,0.536481
3,0.536193
3,0.535475
3,0.535906
3,0.538503
3,0.537779
3,0.536769
3,0.536337
3,0.536625
3,0.535906
3,0.536625
3,0.536193
3,0.535045
4,0.527565
4,0.527565
4,0.528123
4,0.528123
4,0.529381
4,0.529101
4,0.532765
4,0.532056
4,0.53135
4,0.533049
4,0.532623
4,0.534188
4,0.535045
4,0.537201
4,0.536481
4,0.536193
4,0.535475
4,0.535906
4,0.538503
4,0.537779
4,0.536769
4,0.536337
4,0.536625
4,0.535906
4,0.536625
4,0.536193
4,0.535045
4,0.537634
5,0.527565
5,0.528123
5,0.528123
5,0.529381
5,0.529101
5,0.532765
5,0.532056
5,0.53135
5,0.533049
5,0.532623
5,0.534188
5,0.535045
5,0.537201
5,0.536481
5,0.536193
5,0.535475
5,0.535906
5,0.538503
5,0.537779
5,0.536769
5,0.536337
5,0.536625
5,0.535906
5,0.536625
5,0.536193
5,0.535045
